author,title
http://www.gra.fo/publication/Hideto_Ikeda,Additional Facilities of a Concentional DBMS to Support Interactive Statistical Analysis.
http://www.gra.fo/publication/Andreas_Oberweis,GTL - A Graphical Language for Temporal Data.
http://www.gra.fo/publication/Peter_McBrien,A Rule Language to Capture and Model Business Policy Specifications.
http://www.gra.fo/publication/Martin_Odersky,Pizza into Java: Translating Theory into Practice.
http://www.gra.fo/publication/Michael_J__Maher,Constrained Dependencies.
http://www.gra.fo/publication/Sang_Hyuk_Son,Real-Time Replication Control for Distributed Database Systems: Algorithms and Their Performance.
http://www.gra.fo/publication/Luiz_Tucherman,A Pragmatic Approach to Structured Database Design.
http://www.gra.fo/publication/Luiz_Tucherman,A Tool for Modular Database Design.
http://www.gra.fo/publication/Craig_Chambers,Typechecking and Modules for Multi-Methods.
http://www.gra.fo/publication/Edward_P__F__Chan,On the Desirability of gamma-Acyclic BCNF Database Schemes.
http://www.gra.fo/publication/,High-Performance Secondary Memory.
http://www.gra.fo/publication/Alexander_Thomasian,High-Performance Secondary Memory.
http://www.gra.fo/publication/,"""Concurrency Control: Methods"
http://www.gra.fo/publication/Alexander_Thomasian,"""Concurrency Control: Methods"
http://www.gra.fo/publication/Peter_Z__Revesz,Datalog Queries of Set Constraint Databases.
http://www.gra.fo/publication/Peter_Z__Revesz,Model-Theoretic Minimal Chenge Operators for Constraint Databases.
http://www.gra.fo/publication/Peter_Z__Revesz,A Closed Form for Datalog Queries with Integer Order.
http://www.gra.fo/publication/Jozef_Olenski,Practical Problems of Implementing Metadata Standards in Official Statistics.
http://www.gra.fo/publication/William_W__Cohen,Fast Effective Rule Induction.
http://www.gra.fo/publication/Samuel_DeFazio,Database Extensions for Complex Domains
http://www.gra.fo/publication/Philippe_Jacquet,Trie Partitioning Process: Limiting Distributions.
http://www.gra.fo/publication/Kunio_Murakami,A Relational Data Base Machine: First Step to Knowledge Base Machine
http://www.gra.fo/publication/Manish_Mehta_____,SLIQ: A Fast Scalable Classifier for Data Mining.
http://www.gra.fo/publication/,"""Computer Interconnection Structures: Taxonomy"
http://www.gra.fo/publication/Marco_A__Casanova,Formal Data Base Specification - An Eclectic Perspective.
http://www.gra.fo/publication/Thierry_Barsalou,Updating Relational Databases through Object-Based Views.
http://www.gra.fo/publication/Ashok_K__Chandra,Horn Clauses and the Fixpoint Query Hierarchy.
http://www.gra.fo/publication/Wen_jann_Yang,Color Clustering Techniques for Color-Content-Based Image Retrieval from Image Databases.
http://www.gra.fo/publication/Apostolos_Papadopoulos,Performance of Nearest Neighbor Queries in R-Trees.
http://www.gra.fo/publication/George_C__Necula,Safe Kernel Extensions Without Run-Time Checking.
http://www.gra.fo/publication/Hasan_Davulcu,Logic Based Modeling and Analysis of Workflows.
http://www.gra.fo/publication/Richard_M__Tong,Interactive Document Retrieval Using TOPIC (A report on the TREC-3 experiment).
http://www.gra.fo/publication/David_Callahan,Software Prefetching.
http://www.gra.fo/publication/Byoung_Mo_Im,MIN-Entropy: A New Signature File Declustering Algorithm for Intra-Query Parallelism.
http://www.gra.fo/publication/Gultekin__zsoyoglu,On Optimizing Summary-Table-by-Example Queries.
http://www.gra.fo/publication/Daisuke_Tomoda,A Framework of Expert System with Strategic Knowledge.
http://www.gra.fo/publication/Peyyun_Peggy_Li,The Sync Model: A Parallel Execution Method for Logic Programming.
http://www.gra.fo/publication/Mark_S__Boddy,Anytime Problem Solving Using Dynamic Programming.
http://www.gra.fo/publication/Fernando_de_Ferreira_Rezende,Employing Object-Based LSNs in a Recovery Strategy.
http://www.gra.fo/publication/Takushi_Tanaka,Parsing Circuit Topology in a Deductive System.
http://www.gra.fo/publication/Takushi_Tanaka,Representation and Analysis of Electrical Circuits in a Deductive System.
http://www.gra.fo/publication/John_M__Rushby,Design and Verification of Secure Systems.
http://www.gra.fo/publication/Inderpal_Singh_Mumick,Finiteness Properties of Database Queries.
http://www.gra.fo/publication/Peter_Wegner,Inheritance as an Incremental Modification Mechanism or What Like Is and Isn't Like.
http://www.gra.fo/publication/SIGMOD_Conference,"""Counting"
http://www.gra.fo/publication/Evaggelia_Pitoura,Building Information Systems for Mobile Environments.
http://www.gra.fo/publication/Motomichi_Toyama,Fixed Length Semiorder Preserving Code for Field Level Data File Compression.
http://www.gra.fo/publication/Don_S__Batory,Modeling Concepts for VLSI CAD Objects (Abstract).
http://www.gra.fo/publication/Ryan_Stansifer,Type Inference with Subtypes.
http://www.gra.fo/publication/Otto_Rauh,Entity Tree Clustering - A Method for Simplifying ER Designs.
http://www.gra.fo/publication/Otto_Rauh,Searching for Compositions in ER Schemes.
http://www.gra.fo/publication/PODS,"""GYO Reductions"
http://www.gra.fo/publication/Richard_C__H__Connor,Type Equivalence Checking in Persistent Object Systems.
http://www.gra.fo/publication/Eric_N__Hanson,Processing Queries Against Database Procedures: A Performance Analysis.
http://www.gra.fo/publication/Eric_N__Hanson,Rule Condition Testing and Action Execution in Ariel.
http://www.gra.fo/publication/Eric_N__Hanson,A Performance Analysis of View Materialization Strategies.
http://www.gra.fo/publication/Helena_Ahonen,Mining in the Phrasal Frontier.
http://www.gra.fo/publication/Alexander_C__Klaiber,An Architecture for Software-Controlled Data Prefetching.
http://www.gra.fo/publication/Erik_Malmborg,On the Semantics of Aggregated Data.
http://www.gra.fo/publication/Erik_Malmborg,Design of the User-Interface for an Object-Oriented Statistical Data-Base.
http://www.gra.fo/publication/Erik_Malmborg,Matrix-based Interchange of Aggregated Statistical Data.
http://www.gra.fo/publication/S__Sudarshan_____,Optimizations of Bottom-Up Evaluation with Non-Ground Terms.
http://www.gra.fo/publication/Cécile_Paris,Description Strategies for Naive & Expert Users.
http://www.gra.fo/publication/Ellen_M__Voorhees,Query Expansion Using Lexical-Semantic Relations.
http://www.gra.fo/publication/Ellen_M__Voorhees,Using WordNet to Disambiguate Word Senses for Text Retrieval.
http://www.gra.fo/publication/Ellen_M__Voorhees,The Efficiency of Inverted Index and Cluster Searches.
http://www.gra.fo/publication/Ellen_M__Voorhees,The Cluster Hypothesis Revisited.
http://www.gra.fo/publication/Arie_Segev,Efficient Maintenance of Rule-Derived Data through Join Pattern Indexing.
http://www.gra.fo/publication/Jean_Henrard,Data Structure Extraction in Database Reverse Engineering.
http://www.gra.fo/publication/Timothy_Griffin,A Framework for Implementing Hypothetical Queries.
http://www.gra.fo/publication/Neeraj_Bhatnagar,Adaptive Search by Explanation-Based Learning of Heuristic Censors.
http://www.gra.fo/publication/David_J__DeWitt,A Single User Evaluation of the Gamma Database Machine.
http://www.gra.fo/publication/Remigijus_Gustas,Integrated Approach for Modelling of Semantic and Pragmatic Dependencies of Information Systems.
http://www.gra.fo/publication/Hans_Weigand,Integrated Semantics for Information and Communication Systems.
http://www.gra.fo/publication/Hyunchul_Kang,Using 2-way Semijoins in Distributed Query Processing.
http://www.gra.fo/publication/Susan_T__Dumais,Inductive Learning Algorithms and Representations for Text Categorization.
http://www.gra.fo/publication/James_Mayfield,Two-Level Models of Hypertext.
http://www.gra.fo/publication/Elias_Dahlhaus,The Complexity of Multiway Cuts (Extended Abstract)
http://www.gra.fo/publication/Murray_Shanahan,Prediction is Deduction but Explanation is Abduction.
http://www.gra.fo/publication/Jan_Chomicki,Variable Independence and Aggregation Closure.
http://www.gra.fo/publication/Thomas_Feyer,Conceptual Design and Development of Information Services.
http://www.gra.fo/publication/Vincent_Oria,DISIMA: A Distributed and Interoperable Image Database System.
http://www.gra.fo/publication/Neil_C__Rowe,"""Rule/based Statistical Calculations on a """"Database Abstract""""."""
http://www.gra.fo/publication/Neil_C__Rowe,Some Experiments in Evaluation of an Expert System for Statistical Estimation on Databases.
http://www.gra.fo/publication/Leen_Torenvliet,The Reconstruction and Optimization of Trie Hashing Functions.
http://www.gra.fo/publication/Zhaohui_Xie,Join Index Hierarchies for Supporting Efficient Navigations in Object-Oriented Databases.
http://www.gra.fo/publication/Indrajit_Ray,An Advanced Commit Protocol for MLS Distributed Database Systems.
http://www.gra.fo/publication/Glenn_K__Manacher,On the Feasibility of Implementing a Large Relational Data Base with Optimal Performance on a Mini-Computer.
http://www.gra.fo/publication/Guangping_Wei,The ORAC Model: A Unified View of Data Abstraction.
http://www.gra.fo/publication/Peter_C__Lockemann,Analysis of Version and Configuration Control in a Software Engineering Environment.
http://www.gra.fo/publication/Hans_Dieter_Ehrich,A Categorial Theory of Objects as Observed Processes.
http://www.gra.fo/publication/Carol_Small,An Overview of PFL.
http://www.gra.fo/publication/Stavros_Christodoulakis,File Organizations and Access Methods for CLV Optical Disks.
http://www.gra.fo/publication/Jean_Pierre_Cheiney,A Model for Optimizing Deductive and Object-Oriented DB Requests.
http://www.gra.fo/publication/Sanjay_Goil,An Infrastructure for Scalable Parallel Multidimensional Analysis.
http://www.gra.fo/publication/William_E__Weihl,Distributed Version Management for Read-Only Actions (Extended Abstract).
http://www.gra.fo/publication/William_E__Weihl,Data-dependent Concurrency Control and Recovery (Extended Abstract).
http://www.gra.fo/publication/Martin_L__Kersten,Design and Implementation of a DBMS Performance Assessment Tool.
http://www.gra.fo/publication/Guozhu_Dong,Increment Boundedness and Nonrecursive Incremental Evaluation of Datalog Queries.
http://www.gra.fo/publication/Amedeo_Napoli,Subsumption and Classification-Based Reasoning in Object-Based Representations.
